,NC1,NC2,NC3,PUS71,PUS72,PUS73
PAQR7,8.89375795804046,8.84511561954882,8.93135079118138,9.0697588346502,9.06049865735184,9.00438014536359
STMN1,11.0960877877167,11.0642258398893,11.0824834366672,11.4984590145038,11.4943314014536,11.476512780873
PAFAH2,8.00791315734649,8.02571348922785,8.05691461646034,7.9963773090684,7.94204838495078,7.99000305204186
PDIK1L,7.80157514795149,7.83457095310309,7.84850406118058,7.68728336450064,7.59700396220956,7.63451956509843
FAM110D,6.73236152904158,6.73417739666386,6.77456263268457,7.10014447102983,7.13619324939351,7.12602788125823
ZNF593,8.51094473113721,8.42166511979608,8.43714747611667,8.31010517976867,8.12742519453027,8.17843103707846
CEP85,9.10752893778979,9.11721179936827,9.11982136961267,9.21769964415876,9.17299875160735,9.20323356540997
SH3BGRL3,8.42388976101156,8.44565394022318,8.46603683484535,8.7979424214093,8.73934623303043,8.6826299718286
UBXN11,7.55097719971921,7.58987170008,7.56787971648901,7.52955022022937,7.59689066027699,7.60094170940324
LIN28A,12.0430588787981,12.0458849203295,12.0261118353238,12.209840008119,12.1749786047305,12.1750533380319
DHDDS,8.30466114774079,8.26600505681197,8.18313139094542,8.24468569806216,8.25155799268184,8.29451027005949
DHDDS-AS1,3.66047594230308,3.65498166305971,3.68228786241335,3.74181880729873,3.72581998930487,3.69927731303129
HMGN2,10.8448168620504,10.8142680480642,10.8087738544999,11.0542722701821,10.9910417364627,10.9558217175551
RPS6KA1,9.24791926604551,9.28968339082192,9.28282336328154,9.48473869848248,9.43124222855042,9.53146422318396
LOC101928728,5.76937882365378,5.77538088656837,5.72115862687946,5.96330527271049,5.9520997340429,5.8264862021093
ARID1A,11.5970995585576,11.6907286165686,11.6706286355563,11.6184584589662,11.6373175706615,11.6218412645302
PIGV,7.69443809489882,7.64037465113792,7.70342841843371,7.86477888035724,7.87384275786021,7.84553872767578
ZDHHC18,8.45563029053527,8.39296382302872,8.49809170697894,8.55860713408646,8.47131071234018,8.45547500046331
GPN2,9.15074262037004,9.08559983755485,9.08084013060419,8.94089636602468,8.97122297737674,8.95585066800407
GPATCH3,7.64318521991166,7.57019305333073,7.61774745013329,7.65469438021078,7.58734330382862,7.60220570373062
NUDC,10.7582395548231,10.6859343538489,10.6971713365269,10.7686268886392,10.7481577510133,10.7157061530635
TRNP1,6.63216496015487,6.62835679521431,6.60636517408211,5.92830625974795,5.93643512059014,5.88196669078426
SLC9A1,8.26257302930594,8.33377877385464,8.35408779722844,8.48838227470235,8.40847308194679,8.34911248807652
WDTC1,9.26794267598749,9.24067011192974,9.29503114012585,9.4290465668129,9.40976022191461,9.42991868765493
TMEM222,8.50124475062649,8.46851476037318,8.56596190801078,8.51627927137505,8.50173192602998,8.43975457726712
SYTL1,8.57023640880454,8.4949096065459,8.50816862647157,8.46451107121934,8.55941714365583,8.4373369525712
MAP3K6,7.10937241008148,7.07349424764163,7.07311395899942,7.48907477138983,7.47866716961862,7.50566326552692
GPR3,5.81500941048034,5.91383234040983,5.81963983722088,6.37585669717039,6.40824209800282,6.26764064046489
WASF2,11.4272416699384,11.4879347608665,11.4669354378626,11.6383207983244,11.6372726045022,11.6326819149695
AHDC1,8.41268053232298,8.5106609178082,8.47056936667269,8.84878837258014,8.75392942570462,8.82423088297299
IFI6,6.50423735697518,6.4528324796975,6.47946717972156,7.18352847034342,6.99956587390184,6.97845404298258
FAM76A,6.51089649567192,6.54008727622491,6.50505738640538,6.61401398278272,6.54914011628418,6.69078226379224
STX12,8.71889178510336,8.64177392779461,8.69666749548859,8.81402177866355,8.87621620043695,8.81415318295999
PPP1R8,9.77249444723462,9.75627030941122,9.7528025520912,9.63921868586035,9.68294468556088,9.63481166703129
RPA2,9.71853282621053,9.68726650342981,9.71878321992855,9.98671543829418,9.93704675388323,9.88816234465066
SMPDL3B,6.22913873673193,6.27772377724316,6.33443773093305,6.19406446963048,6.1796585261282,6.16532157285736
EYA3,8.50163081017586,8.47689648449014,8.58128413765171,8.60471534621281,8.56334649741849,8.67391541992551
DNAJC8,10.7726555346451,10.7603025775405,10.7636318062998,10.7480688817583,10.7432663955179,10.7480260595412
ATP5IF1,10.4951494192048,10.3987470283666,10.4364888995934,10.7803301253735,10.7250711426827,10.66722839794
SESN2,12.3103365641023,12.3179643362626,12.3465806973318,11.8327853947956,11.8966584893229,11.8101217496706
MED18,7.39016318163753,7.36815573220657,7.40383651790728,7.28791929992797,7.23694308789921,7.19737642910281
PHACTR4,10.2560029671067,10.2835272582212,10.2427347330425,10.3315066154045,10.3226514588401,10.3651706253594
SNHG3,9.65646249618056,9.62434782405186,9.65525739616132,9.73369418928269,9.7658132930035,9.76514865859141
RCC1,9.69068224940382,9.67956016372056,9.67215915677958,9.85475169443945,9.84751149033998,9.89563748914519
SNORA73A,5.22021818766058,5.14653201795182,5.17957029908519,5.06349572679924,5.06743018968476,5.07640066942053
SNORA73B,4.39594575208674,4.3426779093745,4.31935944804817,4.27368802463646,4.24665876448107,4.24133742643978
TRNAU1AP,7.80280612899681,7.68451916279978,7.72899980147506,8.06873101075465,8.04827657734602,8.06200566348996
SNHG12,8.21320554075748,8.29138697902974,8.18117129737394,7.81411047283489,7.77771351694725,7.80012067560163
