X1	deg_anno	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
ENSMUSG00000034614	Pik3ip1	1160.00021078942	-1.28553412513245	0.278109995214927	-4.62239454622611	3.79335659139051e-6	7.7402829415615e-4	down
ENSMUSG00000020044	Timp3	32.7566476322502	-7.39887898497451	1.61126346341053	-4.5919734127859	4.39074315059433e-6	8.81703041240776e-4	down
ENSMUSG00000038742	Angptl6	34.395085998991	7.76472243742175	1.6978431120658	4.57328617835264	4.8013363408153e-6	9.490891569946e-4	up
ENSMUSG00000056724	Nbeal2	344.294046732534	-1.70610185170089	0.374236857255346	-4.5588824794368	5.14265372015912e-6	0.00100091864944205	down
ENSMUSG00000032352	Lrrc1	38.6721117029128	7.93222422640105	1.7412264120271	4.55553865460065	5.22515053224161e-6	0.00100156635429377	up
ENSMUSG00000097318	1700007L15Rik	22.2643399349721	7.86765010197959	1.72826986938615	4.55232729641582	5.30557101242153e-6	0.00100180266982306	up
ENSMUSG00000114213	A430090L17Rik	53.1786908661863	-5.06376083356724	1.11678567189151	-4.53422797320697	5.78145589973444e-6	0.00107560586158148	down
ENSMUSG00000056770	Setd3	132.627952603319	2.83517729029491	0.629664693378842	4.50267788571894	6.71025481364592e-6	0.00123031063257151	up
ENSMUSG00000079317	Trappc2	28.6366752774788	6.00459731353269	1.33768920830105	4.48878355022307	7.16310331201925e-6	0.00129457742857651	up
ENSMUSG00000013611	Snx31	53.7231497407432	-9.5425674745482	2.13866206179225	-4.46193330167894	8.12235096572247e-6	0.00144726566292049	down
ENSMUSG00000017764	Zswim1	35.4679945305947	7.01112773363924	1.57572651887629	4.44945721840053	8.60875752847811e-6	0.00150292425854391	up
ENSMUSG00000068600	Gml2	37.9102345738831	-7.73492361338252	1.73901472663335	-4.44787700467435	8.672316091511e-6	0.00150292425854391	down
ENSMUSG00000036120	Rfxank	193.775350974946	-2.36954767360089	0.534091994888931	-4.43659087999187	9.13947594397955e-6	0.00156247986712548	down
ENSMUSG00000025140	Pycr1	43.4379406496898	5.86868193404701	1.32511296484769	4.42881632715861	9.47516707895719e-6	0.0015982711828785	up
ENSMUSG00000027860	Vangl1	61.7850001466824	7.80472491930909	1.76681606356154	4.41739526839956	9.98974477643157e-6	0.00165712126417768	up
ENSMUSG00000053178	Mterf1b	21.1234016076477	5.75190967127345	1.30271612421921	4.41532085489528	1.00860277718506e-5	0.00165712126417768	up
ENSMUSG00000027318	Adam33	34.8751427580217	6.99208427755018	1.58577964012968	4.4092407927361	1.0373363563344e-5	0.00166118256252994	up
ENSMUSG00000044367	Slc16a13	73.1049144319431	-9.2615170419497	2.09998735512681	-4.41027276632836	1.03240491856979e-5	0.00166118256252994	down
ENSMUSG00000045954	Cavin2	154.342902651242	-3.07166685825904	0.698012686787544	-4.40058886665189	1.0795750261396e-5	0.00170721295696151	down
ENSMUSG00000102051	NA	90.2705503834544	6.36122059848586	1.44851124291985	4.39155762827438	1.12541497192286e-5	0.00175773145799952	up
ENSMUSG00000046949	Nqo2	145.677772385921	1.76748896128563	0.403874113831816	4.37633634034207	1.20690734003784e-5	0.00186202253156325	up
ENSMUSG00000032816	Igdcc4	36.739551528132	8.58866947990592	1.96725598680559	4.36581184020291	1.26651470914848e-5	0.00193044308258282	up
ENSMUSG00000068114	Ccdc134	30.2668588541919	7.58102602160418	1.73987448762518	4.35722580882934	1.31721354085965e-5	0.00198381767921613	up
ENSMUSG00000067931	Zfp948	21.734918311973	7.10347956501213	1.63347257769209	4.34869838773083	1.36947901279717e-5	0.00203826811657611	up
ENSMUSG00000085133	NA	62.9424453578565	-8.33649989027824	1.92496151571291	-4.33073587301865	1.486118576447e-5	0.00218614954774779	down
ENSMUSG00000040434	Large2	20.4799459748981	7.01732841689914	1.62452172911061	4.3196273039333	1.56292928527732e-5	0.00227271475724637	up
ENSMUSG00000039158	Akna	139.01239313859	-4.00653461672618	0.93101863899655	-4.30338819107254	1.68205752373188e-5	0.00239097862165528	down
ENSMUSG00000045284	Dcaf12l1	48.868614949832	6.84554170534074	1.58981512449673	4.30587280235352	1.66328615093232e-5	0.00239097862165528	up
ENSMUSG00000022901	Cd86	33.3940633591249	-8.127386951505	1.89354953199008	-4.29214383579567	1.76956253340957e-5	0.00248741506779605	down
